gene_id	gene_name	qtl	trait	trait_long	trait_category	eqtl_pp4	ieqtl_pp4
ENSG00000042445.13	RETSAT	ieQTL	MWBC	Myeloid_White_Cell_Count	Blood	0.303994	0.506188
ENSG00000148396.18	SEC16A	ieQTL	MWBC	Myeloid_White_Cell_Count	Blood	2.94002e-09	0.778642
ENSG00000181038.13	METTL23	ieQTL	MWBC	Myeloid_White_Cell_Count	Blood	0.0269572	0.712904
ENSG00000149485.18	FADS1	ieQTL	MWBC	Myeloid_White_Cell_Count	Blood	0.490763	0.904398
ENSG00000178966.16	RMI1	ieQTL	MWBC	Myeloid_White_Cell_Count	Blood	0.481581	0.74811
ENSG00000114650.18	SCAP	ieQTL	MWBC	Myeloid_White_Cell_Count	Blood	0.37247	0.539501
ENSG00000180871.7	CXCR2	ieQTL	MWBC	Myeloid_White_Cell_Count	Blood	1.77438e-07	0.597439
ENSG00000067064.10	IDI1	ieQTL	BW	Birth_Weight	Anthropometric	0.00286192	0.797008
ENSG00000232656.7	IDI2-AS1	ieQTL	BW	Birth_Weight	Anthropometric	0.00789947	0.76461
ENSG00000103510.19	KAT8	ieQTL	RA	Rheumatoid_Arthritis	Immune	0.00246487	0.678661
ENSG00000185651.14	UBE2L3	ieQTL	RA	Rheumatoid_Arthritis	Immune	0.479704	0.524815
ENSG00000160712.12	IL6R	ieQTL	RA	Rheumatoid_Arthritis	Immune	3.15751e-05	0.796989
ENSG00000076706.16	MCAM	ieQTL	RA	Rheumatoid_Arthritis	Immune	0.0167797	0.686679
ENSG00000091640.7	SPAG7	ieQTL	PLT	Platelet_Count	Blood	0.000408826	0.941615
ENSG00000165025.14	SYK	ieQTL	PLT	Platelet_Count	Blood	0.00284167	0.808599
ENSG00000117748.9	RPA2	ieQTL	PLT	Platelet_Count	Blood	8.6245e-07	0.635963
ENSG00000149485.18	FADS1	ieQTL	PLT	Platelet_Count	Blood	0.456206	0.693279
