region	n	trait	results	abbreviation	category	color
region_chr11_107973474_108566310	1	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr11_128318642_130472680	23	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr21_43086158_44757190	1	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr22_27438791_29255810	37	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr22_42294812_43318194	76	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr7_5814895_6534226	4	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr11_32255355_33937192	4	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr11_42288453_44672249	138	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr15_73336373_76106283	3	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr17_2025437_3799018	103	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_156563945_157822566	58	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr5_132803957_135441711	2	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr6_28949831_29770194	923	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr6_32714887_33268720	4023	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr10_22886203_25289667	26	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr11_9065770_10930480	39	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr12_109898914_112825713	22	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr12_57155077_58914885	1	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr14_90830516_92665954	301	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr17_76379479_78267332	12	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr1_184626379_186840891	18	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr21_41901419_43086158	1	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr4_83878503_86009456	3	UKB_20002_1616_self_reported_insomnia	gwas	INSOMN_UKBS	Psychiatric-neurologic	#0000A0
region_chr19_44239955_45599439	5	MAGNETIC_CH2.DB.ratio	gwas	CH2	Cardiometabolic	#004000
region_chr1_34334157_37083582	67	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr2_64398779_65706310	125	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr3_187172556_189138425	67	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_86359782_88112422	428	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr7_141526757_142959223	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr10_61581937_64034354	294	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr15_59401917_60973637	44	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr1_169117086_170588635	128	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	gwas	DVT_UKBS	Cardiometabolic	#004000
region_chr4_30452913_31781359	18	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr5_88094174_89595713	57	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr8_11421489_13634266	80	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr8_78220626_81044160	2	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr12_96715061_98912209	3	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr18_45342141_46719283	195	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr2_58070180_60064865	203	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr3_32310223_33214100	4	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr5_982137_2132328	16	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr7_2732593_4533797	17	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr10_113568673_114661647	10	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr14_90830516_92665954	359	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr17_7414079_8403107	26	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr19_2098397_3019662	134	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr19_9127717_11173352	11	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr2_191108631_194996440	1	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr6_25684359_26791023	17	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_32714887_33268720	623	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr7_43119475_44724229	40	MAGIC_FastingGlucose	gwas	FG	Cardiometabolic	#004000
region_chr11_117876395_119344766	33	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr12_10328935_11601912	159	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr15_60973637_62923023	75	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr3_140235755_141620255	123	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr3_46616010_47685722	118	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
